smiles,pKi,Ki,protein_path
C[C@@H](C[C@H]1OC)[C@](C(C(N(CCCC2)[C@H]2C(O[C@H]([C@@H](C)[C@@H](CC([C@@H](CC=C)/C=C(\C)/C[C@@H](C)C2)=O)O)/C(/C)=C/[C@@H](CC[C@@H]3O)C[C@@H]3OC)=O)=O)=O)(O)O[C@H]1[C@@H]2OC,2.575118363368933,2660.0,4wnv_meeko.pdb
Cc(cc1)ccc1NC(c1cc(-c2nccnc2)nc2ccccc12)=O,2.5686362358410126,2700.0,4wnv_meeko.pdb
CN(CC1)CCN1c1nc2ccccc2c(C(C(N2)=O)=C(c3c[nH]c4c3cccc4)C2=O)n1,2.537602002101044,2900.0,4wnv_meeko.pdb
Cc1c(-c2cnccc2)scc1,2.5228787452803374,3000.0,4wnv_meeko.pdb
Cc(cc1)ccc1NC(c1cc(-c2ncncc2)nc2ccccc12)=O,2.5228787452803374,3000.0,4wnv_meeko.pdb
SCc1ccc(-c2cnccc2)o1,2.5086383061657274,3100.0,4wnv_meeko.pdb
COc(cc1)ccc1NC(c1cc(-c2ccccc2)nc2ccccc12)=O,2.5086383061657274,3100.0,4wnv_meeko.pdb
Cc(cc1Cl)cc(Cl)c1OCCOc1ccc(CC(CN)C(N(Cc(cc(CCCOC)cc2)c2Cl)C2CC2)=O)cc1,2.494850021680094,3200.0,4wnv_meeko.pdb
Cc(cc1)ccc1NC(c1cc(-c2ncccc2)nc2ccccc12)=O,2.408935392973501,3900.0,4wnv_meeko.pdb
Cc(cc1)ccc1NC(c1cc(-c2ccccc2)nc2ccccc12)=O,2.401209493236885,3970.0,4wnv_meeko.pdb
O=C(c1cc(-c2ccccc2)nc2ccccc12)Nc1ccccc1,2.3872161432802645,4100.0,4wnv_meeko.pdb
CC(C)c(cc(CC[C@@H](C(C)(C)CCC1)[C@@]11C(O)=O)c1c1O)c1O,2.3665315444204134,4300.0,4wnv_meeko.pdb
C[C@](C[C@@H]1c(cc2)ccc2N(C)C)([C@@H](CC2)[C@H](CC3)C1=C(CC1)C3=CC1=O)[C@@]2(C#CC)O,2.3279021420642825,4700.0,4wnv_meeko.pdb
C[C@@H](c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N(C)C(N(CC[C@H](C1)N(CC2)CCN2C(C)=O)[C@@H]1c(cc1)c(C)cc1F)=O,2.30715308072277,4930.0,4wnv_meeko.pdb
CC(C)[C@](CCCN(C)CCc(cc1)cc(OC)c1OC)(c(cc1)cc(OC)c1OC)C#N,2.2924298239020637,5100.0,4wnv_meeko.pdb
CC[C@H]([C@](C)([C@@H]([C@@H](C)C([C@H](C)C[C@](C)([C@@H]([C@@H](C)[C@@H]([C@H]1C)O[C@@H](C[C@@]2(C)OC)O[C@@H](C)[C@@H]2O)O[C@@H]([C@@H]2O)O[C@H](C)C[C@@H]2N(C)C)OC)=O)O)O)OC1=O,2.260427655549908,5490.0,4wnv_meeko.pdb
Cc1cc(-c(nc2)cc(C(NCc(cc3)nc(OC)c3OC)=O)c2-c2ccccc2)cnc1,2.2518119729937998,5600.0,4wnv_meeko.pdb
COCCOc1cc2c(Nc3cc(C#C)ccc3)ncnc2cc1OCCOC,2.2006594505464183,6300.0,4wnv_meeko.pdb
Cc1cccc(Cl)c1NC(c1cnc(Nc2nc(C)nc(N3CCN(CCO)CC3)c2)s1)=O,2.2006594505464183,6300.0,4wnv_meeko.pdb
