smiles,pKi,Ki,protein_path
COc(cc1)cc(S(NCC(c2ccccc2)N2CCN(CC(COc(cc3)ccc3Br)O)CC2)(=O)=O)c1OC,1.5228787452803376,30000.0,4wnv_meeko.pdb
CC(C)(C)NC([C@H]1N(C[C@H](C[C@@H](Cc2ccccc2)C(N[C@H]([C@@H](C2)O)c3c2cccc3)=O)O)CCN(Cc2cnc3occc3c2)C1)=O,1.494850021680094,32000.0,4wnv_meeko.pdb
C1SC(c2ccc(-c3cnccc3)o2)SC1,1.4156687756324693,38400.0,4wnv_meeko.pdb
CNCc1ccc(-c2cnccc2)o1,1.3439017979871681,45300.0,4wnv_meeko.pdb
CC(SCc1ccc(-c2cnccc2)o1)=O,1.342944147142896,45400.0,4wnv_meeko.pdb
Cc1c(-c2cnccc2)scc1,1.3187587626244128,48000.0,4wnv_meeko.pdb
Cc1nccc2c1[nH]c1c2ccc(OC)c1,1.3010299956639813,50000.0,4wnv_meeko.pdb
CNCc1ccc(-c2cnccc2)s1,1.2479515521805615,56500.0,4wnv_meeko.pdb
NCC#Cc1cccnc1,1.2182446253475312,60500.0,4wnv_meeko.pdb
CSCc1ccc(-c2cnccc2)o1,1.1904402853647322,64500.0,4wnv_meeko.pdb
CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,1.1870866433571443,65000.0,4wnv_meeko.pdb
Cc1c(CSCC/N=C(\NC)/NC#N)nc[nH]1,1.1135092748275182,77000.0,4wnv_meeko.pdb
NCc1ccc(-c2cnccc2)s1,1.0731432910503076,84500.0,4wnv_meeko.pdb
Cc1nccc2c1[nH]c1c2cccc1,1.0655015487564323,86000.0,4wnv_meeko.pdb
Cc1cscc1-c1cnccc1,1.0154726866562074,96500.0,4wnv_meeko.pdb
COc(cc1)cc2c1[nH]cc2CCO,1.0,100000.0,4wnv_meeko.pdb
c1c(-c2cccnc2)nc[nH]1,1.0,100000.0,4wnv_meeko.pdb
Cn1cnc(-c2cccnc2)c1,0.9913998282380825,102000.0,4wnv_meeko.pdb
c1cscc1-c1cnccc1,0.906578314837765,124000.0,4wnv_meeko.pdb
CN(C)Cc1ccc(-c2cnccc2)o1,0.8961962790440432,127000.0,4wnv_meeko.pdb
c1c[nH]nc1-c1cccnc1,0.7825160557860937,165000.0,4wnv_meeko.pdb
O[C@@H]([C@@H](Cn1nncc1)c1ccccc1)c1ccccc1,0.14999741390753907,707950.0,4wnv_meeko.pdb
COCO[C@@H]([C@H](Cn1nncc1)c1ccccc1)c1ccccc1,-0.049992856920142645,1122000.0,4wnv_meeko.pdb
